Регион,Зараженных,Выздоровевших,Погибших,% Смертей

США,367659 (+5333),19814 (+501),10943 (+229),2.97%
Испания,140510 (+5478),43208 (+2771),13798 (+629),9.81%
Италия,132547,22837,16523,12.46%
Германия,103375 (+1351),36081 (+7381),1810 (+115),1.75%
Франция,98010,17250,8911,9.09%
Китай,83095 (+56),77467 (+100),3340,4.01%
Иран,62589 (+2089),27039 (+2803),3872 (+133),6.18%
Великобритания,52279 (+671),287 (+116),5385 (+12),10.3%
Турция,30217,1326,649,2.14%
Швейцария,22242 (+585),8056,787 (+22),3.53%
Бельгия,22194 (+1380),4157 (+171),2035 (+403),9.16%
Нидерланды,18803,914,1867,9.92%
Канада,16667 (+169),3616 (+177),323 (+2),1.93%
Австрия,12461 (+168),4046 (+583),243 (+23),1.95%
Португалия,12442 (+712),184 (+44),345 (+34),2.77%
Бразилия,12240 (+184),296,566 (+13),4.62%
Южная Корея,10331 (+47),6694 (+96),192 (+6),1.85%
Израиль,9006 (+102),683 (+98),60 (+3),0.66%
Россия,7499 (+1148),502 (+73),61 (+10),0.81%
Швеция,7206,255,477,6.61%
Австралия,5908 (+113),2547 (+115),48 (+7),0.81%
Норвегия,5866 (+103),91,83 (+7),1.41%
Ирландия,5364,25,174,3.24%
Дания,4978 (+297),1491 (+113),203 (+16),4.07%
Индия,4908 (+130),382 (+7),137 (+1),2.79%
Чехия,4828 (+93),127 (+6),80 (+2),1.65%
Чили,4815,728,37,0.76%
Польша,4532 (+119),191 (+29),111 (+4),2.44%
Румыния,4417 (+360),460 (+54),184 (+8),4.16%
Пакистан,4004 (+238),429 (+170),55 (+2),1.37%
Малайзия,3963 (+170),1321 (+80),63 (+1),1.58%
Япония,3906 (+252),592 (+17),92 (+7),2.35%
Филиппины,3764 (+104),84 (+11),177 (+14),4.7%
Эквадор,3747,100,191,5.09%
Люксембург,2843,500,41,1.44%
Саудовская Аравия,2752 (+147),551,38,1.38%
Индонезия,2738 (+247),204 (+12),221 (+12),8.07%
Перу,2561,997,92,3.59%
Мексика,2439 (+296),633,125 (+31),5.12%
Финляндия,2308 (+132),300,28,1.21%
Таиланд,2258 (+38),824 (+31),27 (+1),1.19%
Сербия,2200,118 (+64),58,2.63%
Панама,2100 (+112),14 (+1),55 (+1),2.61%
ОАЭ,2076,167,11,0.52%
Катар,1832,131,4,0.21%
Доминиканская Республика,1828,33,86,4.7%
Греция,1755,269,81 (+2),4.61%
ЮАР,1686,95,12,0.71%
Аргентина,1628 (+74),325,53 (+5),3.25%
Колумбия,1579,88,46,2.91%
Исландия,1562,460,6,0.38%
Украина,1462 (+143),28,45 (+7),3.07%
Алжир,1423,90,173,12.15%
Сингапур,1375,344,6,0.43%
Египет,1322,259,85,6.42%
Хорватия,1222,130,16,1.3%
Новая Зеландия,1160 (+54),241 (+65),1,0.08%
Эстония,1149 (+41),69 (+7),21 (+2),1.82%
Марокко,1141 (+21),88 (+7),83 (+3),7.27%
Ирак,1031,344,64,6.2%
Словения,1021,102,30,2.93%
Молдова,965,40 (+3),21 (+2),2.17%
Гонконг,936 (+21),236 (+20),4,0.42%
Литва,880 (+37),8,15,1.7%
Армения,853 (+20),87 (+25),8,0.93%
Венгрия,817 (+73),71 (+4),47 (+9),5.75%
Бахрейн,756,458,4,0.52%
